,PARTICIPANT_ID,DEVICE,SCREEN_W,SCREEN_H,AGE,GENDER,HAS_TAKEN_TYPING_COURSE,LAYOUT,WPM,ERROR_RATE,NATIVE_LANGUAGE,KEYBOARD_TYPE,USING_APP,USING_FEATURES,FINGERS,TIME_SPENT_TYPING,TYPE_ENGLISH,P_KPD,P_IKI,P_BSP,P_ECPC,P_UILEN,P_KSPC,ITE_SWYPE,ITE_PREDICT,ITE_AUTOCORR
173,3015,mobile,414,736,18,female,0,qwerty,39.5892294008248,4.58135860979463,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,2,,31.932436826266700,131.91221562351900,1.2,0.0285624407518241,41.8,1.0213852168,0,0.04904761904761910,0.03849206349206350
182,3072,mobile,360,740,43,female,1,qwerty,24.6700709596127,0.33112582781457,en,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,10,,6.510212228733330,90.68611703000130,1.3333333333333300,0.0330208178687072,40.266666666,1.38873021853333,0.09531746031746030,0.19423594923594900,0.05084249084249080
186,3106,mobile,320,568,26,female,0,qwerty,36.08669382881249,2.00567980120696,es,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,3,always,20.223799872666700,94.65081312077870,1.4666666666666700,0.046003791617303,31.466666666,1.06900838513333,0,0.008333333333333330,0.0047619047619047600
191,3301,mobile,375,812,46,female,0,qwerty,21.4762803365739,3.37519623233909,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,10,,21.937121504200000,207.60933413916300,1.1333333333333300,0.0329136995611709,37.6,1.01552294633333,0,0.04970899470899470,0.03849206349206350
193,3381,mobile,412,846,35,female,1,qwerty,17.0033243895442,3.03030303030303,en,mobile,SwiftKey,"""[\notsure\""""]""""""",right_hand;thumbs,4,,18.410299870866700,203.80627101932200,0.13333333333333300,0.0019607843137254,46.733333333,1.55500776366667,0,0,0
194,3389,mobile,360,640,30,male,1,qwerty,19.1551843220655,1.66666666666667,en,laptop,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,2,,8.66171566493333,228.8772299194410,1,0.0205034027652307,44.0,1.35612482973333,0.022857142857142900,0.13634513634513600,0.0897008547008547
200,3430,mobile,360,640,24,female,0,qwerty,17.2650290130375,1.89504373177843,ur,laptop,SwiftKey,"""[\swipe\"""""",""\""""autocorrection\""""]""""""",left_hand;thumbs,1,always,20.039008691466700,135.8367282797410,0.06666666666666670,0.0012578616352201,45.333333333,1.3156775458,0.01111111111111110,0.02113997113997110,0.07489658489658490
209,3475,mobile,360,640,22,male,0,qwerty,19.9779199986964,3.7296037296037294,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,2,,18.197736701533300,110.3513186490140,0,0.0,41.466666666,1.44177519193333,0.02222222222222220,0.2342302142302140,0.07947163947163950
211,3479,mobile,360,720,14,male,0,qwerty,12.647613723709,4.17391304347826,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,1,,9.548270429400000,109.24311558818500,0.26666666666666700,0.0095238095238095,37.2,1.2092513578,0.023148148148148100,0.05814814814814820,0.007407407407407410
214,3502,mobile,412,846,25,female,0,qwerty,18.1113565437495,1.34907251264756,en,mobile,SwiftKey,"""[\no\""""]""""""",right_hand;thumbs,4,,18.474037474933300,266.9394000092080,0,0.0,39.4,1.45867507266667,0,0,0
225,3608,mobile,768,1024,20,male,0,qwerty,34.6342140897886,1.46412884333821,en,tablet,FALSE,"""[\autocorrection\""""]""""""",right_hand;middle_fingers,8,,19.110257670000000,213.7183113341960,1.1333333333333300,0.0227223418066438,45.333333333,1.03871528806667,0,0.019047619047619000,0.036748436748436700
232,3771,mobile,320,570,46,female,0,qwerty,20.4325922891289,5.46400693842151,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;middle_fingers,12,always,17.164222092466700,131.45416452453600,0,0.0,31.533333333,1.37374177733333,0.020634920634920600,0.12338217338217300,0.06306471306471310
267,4335,mobile,320,570,46,female,0,qwerty,18.6045989085527,1.75438596491228,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;middle_fingers,12,,17.258322805066700,131.33677803232300,0.5333333333333330,0.0211668323243276,37.8,1.0126784246,0.021666666666666700,0.49553631553631600,0.019528619528619500
268,4350,mobile,375,667,20,female,1,qwerty,32.3370618659052,3.68818105616094,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;other-nfingers;10,24,always,21.3250058708,107.72561514140200,2.8,0.0789151071737376,35.666666666,1.03542288893333,0,0.12935064935064900,0.02333333333333330
270,4368,mobile,320,570,46,female,0,qwerty,31.8031235210601,0.33167495854063,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,12,always,15.734841260466700,152.99968393829400,0.3333333333333330,0.0057780559032123,40.2,0.904676323666667,0.05099715099715100,0.37157657157657200,0.0703910903910904
275,4453,mobile,360,720,20,female,0,qwerty,24.299019727675,2.8957528957529,tl,mobile,FALSE,"""[\no\""""]""""""",right_hand;other,3,sometimes,8.889687496933330,190.32588245119100,1.4,0.040121110059878,34.133333333,1.07790208866667,0,0,0
310,4932,mobile,360,640,51,female,0,qwerty,29.320219123506,1.85185185185185,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,5,,19.013741607933300,188.37728765072400,0,0.0,42.866666666,0.956518788266667,0.05,0.18058682058682100,0.028282828282828300
311,4936,mobile,360,640,24,male,1,qwerty,25.5129476344263,0.710227272727273,en,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,8,,17.517295684733300,177.29686532352400,1.9333333333333300,0.0399711127302591,46.6,1.18839069493333,0.020000000000000000,0.2697402597402600,0.05129870129870130
312,4938,mobile,320,534,24,female,0,qwerty,18.6033597112314,0.0,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,5,sometimes,24.355085502000000,249.8460046071750,0,0.0,41.2,1.40570791966667,0,0.18959096459096500,0.1162962962962960
329,5172,mobile,360,640,24,female,0,qwerty,22.1355063794605,2.90322580645161,ur,add-on,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,4,usually,21.9144415592,103.36057127464600,1.3333333333333300,0.0392392743073425,40.266666666,1.403995058,0.10412698412698400,0.055079365079365100,0.08785714285714290
331,5187,mobile,375,667,18,female,0,qwerty,59.6003503958481,8.2018927444795,gu,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,5,always,16.0578421328,88.46798481754560,1.4,0.0574326080897094,41.066666666,1.11709027533333,0.02619047619047620,0.12285714285714300,0.16026455026455000
334,5198,mobile,360,640,26,male,0,qwerty,27.1467773241416,1.15273775216138,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,4,,18.504321769666700,87.17723017475810,0.4,0.0080516764015146,46.066666666,1.06363022806667,0.008333333333333330,0.05976430976430980,0
340,5271,mobile,360,760,17,male,0,qwerty,51.2727425052711,3.76175548589342,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,6,,6.259500336866670,126.2045534261550,0,0.0,41.8,0.6057509126,0.6312554112554110,0.21086580086580100,0.005555555555555560
354,5371,mobile,375,667,20,female,0,qwerty,23.7016047211099,1.18694362017804,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,8,,21.206674592733300,116.56710993117500,8.8,0.195335276791644,44.866666666,1.33801307573333,0,0.042676767676767700,0.19063973063973100
357,5431,mobile,360,640,47,male,0,qwerty,19.044756379813,1.82481751824818,en,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,2,,14.081759475266700,238.04041736478900,0.26666666666666700,0.0070889894419306,36.2,1.39964426573333,0.016666666666666700,0.0423015873015873,0.11873015873015900
367,5541,mobile,414,736,28,female,0,qwerty,29.5209665015587,1.57694399129962,en,tablet,FALSE,"""[\no\""""]""""""",left_hand;thumbs,2,always,22.4872514082,301.1121952667150,3.933333333333330,0.137261706761075,34.266666666,1.2594568746,0,0.01888888888888890,0.23685425685425700
368,5555,mobile,1024,768,10,none,0,qwerty,36.783777410988,6.87186828919112,en,other,FALSE,"""[\no\""""]""""""",right_hand;thumbs,8,,15.020281240000000,147.04371729149400,7.733333333333330,0.161543479584635,44.866666666,1.3108070814,0,0.007407407407407410,0.04902356902356900
372,5613,mobile,360,640,34,female,1,qwerty,36.671819199403,0.58055152394775,en,add-on,FALSE,"""[\no\""""]""""""",right_hand;thumbs,3,,116.34726660700000,276.22831366671100,2,0.0508971295103432,45.866666666,1.1356675436,0,0,0
374,5661,mobile,360,640,46,female,0,qwerty,27.0795755346811,3.66056572379368,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,5,,23.789399557866700,201.5315224357470,0.13333333333333300,0.0045977011494252,39.533333333,1.34585198146667,0,0,0.06407407407407410
382,5784,mobile,360,640,19,male,0,qwerty,24.3132874943283,0.0839630562552477,ur,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,23,always,19.995561604800000,348.92014626937200,0.06666666666666670,0.001058201058201,35.6,0.9126465834,0.05119047619047620,0.2023015873015870,0
391,6033,mobile,360,640,23,female,1,qwerty,42.7697538988144,1.69230769230769,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,5,,16.044319930266700,198.80796754443800,0.4666666666666670,0.0188097440641381,43.066666666,1.08864947053333,0,0,0.009523809523809520
404,6548,mobile,360,640,20,female,0,qwerty,29.4569571484408,0.57518488085456,ur,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,6,always,17.918096540466700,134.70018725486200,0.5333333333333330,0.0151979708543261,41.066666666,1.33766756626667,0,0,0
409,6813,mobile,320,570,28,male,0,qwerty,14.9759750237811,2.79937791601866,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,8,,23.988912028200000,266.7437645292840,0,0.0,41.933333333,1.40591355426667,0.009523809523809520,0,0
431,7233,mobile,320,534,40,female,0,qwerty,8.09890399258264,4.53834115805947,ga,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,20,always,36.182120003,132.47487791103200,0,0.0,41.666666666,1.45954154166667,0,0.10753968253968300,0
432,7241,mobile,412,846,31,female,0,qwerty,30.5243819835975,2.40295748613678,es,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,0,usually,14.1276505342,102.028365856011,0.8,0.0199014044545326,35.8,1.42584404086667,0.03333333333333330,0.009523809523809520,0.038597883597883600
433,7244,mobile,375,667,33,female,0,qwerty,30.9586873516563,4.49438202247191,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;index_fingers,9,,22.0284179368,137.35942953249000,2.466666666666670,0.061032580755449,41.0,1.11482429893333,0,0.005555555555555560,0.1652140452140450
453,7400,mobile,412,732,23,male,0,qwerty,24.0462762492021,3.65079365079365,hi,mobile,FALSE,"""[\autocorrection\"""""",""\""""no\""""]""""""",left_hand;thumbs,10,usually,14.1852046996,71.49988239864330,4.133333333333330,0.107032874893397,41.333333333,1.64760515853333,0,0.06746031746031750,0.1869432419432420
459,7465,mobile,360,640,10,none,0,qwerty,30.7854707806254,1.96399345335516,ta,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,0,sometimes,17.8003528308,129.31644945178700,0,0.0,40.533333333,1.29339528646667,0.03333333333333330,0.08814814814814810,0.07476190476190480
462,7484,mobile,360,640,26,male,1,qwerty,26.0146749448407,1.44717800289436,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,4,always,19.231966325333300,123.06168065189700,0.8,0.0162200492732706,46.066666666,1.14626919486667,0.012121212121212100,0.023737373737373700,0.006060606060606060
463,7511,mobile,360,640,26,male,0,qwerty,24.878640776699,1.32450331125828,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,4,always,19.09131570553330,128.3257504557240,1.3333333333333300,0.0269323784510131,50.2,1.19236372453333,0,0.022727272727272700,0.01574074074074070
467,7567,mobile,414,736,31,female,1,qwerty,33.2412840869865,2.87009063444109,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,5,,22.776717102400000,166.87640716010200,3.7333333333333300,0.101253084464467,43.8,1.14922248346667,0,0.07759259259259260,0.2635473785473790
471,7644,mobile,414,736,19,female,0,qwerty,41.4541295268244,3.06946688206785,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,20,,26.184488247933300,123.80062193438500,2.466666666666670,0.0761491021403567,40.866666666,1.12966417546667,0,0.01818181818181820,0.1616317941317940
479,7719,mobile,412,732,37,female,0,qwerty,26.929092551755,6.25,en,mobile,notsure,"""[\autocorrection\""""]""""""",right_hand;thumbs,2,,11.065180208666700,81.51937263410020,2.8666666666666700,0.133045112781955,47.2,1.76868788893333,0,0.025084175084175100,0.1548963998964000
484,7741,mobile,375,667,18,female,0,qwerty,33.8366890380313,2.3961661341853,pl,mobile,notsure,"""[\no\""""]""""""",right_hand;thumbs,10,usually,17.897518676066700,87.83733399182780,2.933333333333330,0.0738348727342917,41.333333333,1.15632412033333,0,0.019047619047619000,0.07923280423280420
485,7762,mobile,375,667,19,male,0,qwerty,47.5266731328807,4.08163265306123,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,3,always,17.3099827346,111.02721586585800,0.9333333333333330,0.0201702728018517,36.8,1.01313714726667,0,0.03833333333333330,0.008333333333333330
488,7799,mobile,360,740,30,none,0,qwerty,59.8523575565258,7.15421303656598,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,5,,11.0320461368,105.00341507143000,1.1333333333333300,0.0338461538461538,41.133333333,0.534303327133333,0.9250529100529100,0.12187830687830700,0
489,7800,mobile,320,570,20,female,1,qwerty,29.4199651959889,5.272727272727271,te,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\""""]""""""",right_hand;thumbs,12,sometimes,20.6643670472,90.54152300513910,0,0.0,35.0,1.60072401246667,0.1743915343915340,0.06552096052096050,0
505,7941,mobile,360,640,22,female,0,qwerty,29.4973363744066,6.04651162790698,ur,mobile,notsure,"""[\notsure\""""]""""""",right_hand;middle_fingers,3,usually,16.947041202800000,77.27399069815730,0.9333333333333330,0.0219610461963403,41.666666666,1.63496534106667,0,0.008333333333333330,0.10278980278980300
511,8059,mobile,360,640,26,male,1,qwerty,20.7140939597315,0.606980273141123,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,4,,42.6109472324,135.10331828306500,1.1333333333333300,0.0328023246154606,43.866666666,1.23286690933333,0,0.022857142857142900,0
526,8372,mobile,414,736,34,male,0,qwerty,32.3036228434991,1.82584269662921,fr,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,18,always,17.618490245333300,347.090338729297,2.2666666666666700,0.0538969397473194,47.0,1.03298011626667,0,0.04883597883597880,0.03627705627705630
538,8571,mobile,360,640,48,female,1,qwerty,16.7570860263055,5.0381679389313,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,,16.921643138,207.35420738300700,0.13333333333333300,0.0026842173183636,43.2,1.59208057613333,0.007407407407407410,0,0.0492022792022792
542,8663,mobile,360,640,48,female,0,qwerty,17.0606910581636,5.03373118837571,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;index_fingers,1,,16.482471297466700,170.0385976287010,0.8666666666666670,0.0236147186147186,41.6,1.50382912246667,0,0,0.03656565656565660
544,8711,mobile,414,736,26,female,0,qwerty,48.8162965681777,0.881057268722467,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;middle_fingers,3,,22.8467929176,160.84279865742400,2,0.037818403018167,45.333333333,1.09818496746667,0,0,0.1333242683242680
548,8854,mobile,360,640,48,female,0,qwerty,19.0972975317746,0.991735537190083,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,,16.499166003000000,80.94645668323070,0.2,0.0055266060104769,40.133333333,1.45908082633333,0,0,0.025264550264550300
550,8872,mobile,320,570,20,female,1,qwerty,27.7708711867648,0.400801603206413,te,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,12,sometimes,21.9943008828,78.20140169462560,0,0.0,33.266666666,1.5649583568,0.06717171717171720,0.056190476190476200,0.009523809523809520
554,8995,mobile,360,640,48,female,0,qwerty,18.9014449352798,4.15490116982654,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,,16.067249380466700,165.28440436574300,0.06666666666666670,0.0012345679012345,37.0,1.46255661813333,0,0,0.024523809523809500
560,9159,mobile,360,640,15,male,1,qwerty,32.6820962714995,2.70967741935484,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,1,usually,12.391324735466700,83.25189048117760,0,0.0,51.333333333,0.7798642626,0.5566743441743440,0.0852922077922078,0.04090909090909090
562,9183,mobile,360,640,29,male,0,qwerty,25.0259368021242,1.45867098865478,ta,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,3,always,19.835465137200000,172.65378305805000,0,0.0,40.533333333,1.0483465982,0,0.03063325563325560,0.005128205128205130
564,9210,mobile,320,570,20,female,1,qwerty,30.614533492823,0.884955752212389,te,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,12,sometimes,20.923926249266700,127.62070101474400,0,0.0,37.4,1.54161076366667,0.13664502164502200,0.013333333333333300,0.013333333333333300
574,9322,mobile,360,640,37,female,0,qwerty,23.9090937086195,1.95195195195195,ta,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,2,always,17.46477032693330,191.37975997043100,3.933333333333330,0.108375388821761,44.066666666,1.21921870693333,0,0.006060606060606060,0
575,9325,mobile,360,640,11,none,0,qwerty,22.2104993443562,3.30708661417323,en,mobile,notsure,"""[\autocorrection\"""""",""\""""notsure\""""]""""""",left_hand;thumbs,0.5,,15.958218973733300,179.35866206742700,0.26666666666666700,0.006060606060606,41.933333333,1.30586039353333,0.01724941724941730,0.07599622599622600,0.21863136863136900
583,9745,mobile,1024,768,12,female,1,qwerty,25.2704870473395,0.949367088607595,zh,tablet,notsure,"""[\no\""""]""""""",right_hand;index_fingers,2,usually,20.086956936,143.65437663965500,3,0.0750267122784391,42.133333333,1.12854322286667,0.01111111111111110,0.02638888888888890,0.08497835497835500
598,9970,mobile,320,570,20,female,1,qwerty,33.6946461905285,1.5527950310559,te,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,12,sometimes,20.920950596533300,80.93481414764530,0,0.0,37.266666666,1.45512520453333,0.10478835978836000,0.023597883597883600,0
603,10077,mobile,360,640,22,female,0,qwerty,24.658703785856,2.14424951267057,en,mobile,notsure,"""[\no\""""]""""""",right_hand;thumbs,2,,25.86505374266670,152.1615558208710,1.2,0.0341795712409747,33.733333333,1.1992012232,0,0.03518518518518520,0.04507936507936510
610,10211,mobile,360,640,48,female,0,qwerty,22.4560039127886,3.2967032967033,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,,15.930957327800000,95.56409425499040,0.5333333333333330,0.0121129326047359,42.066666666,1.533365477,0,0,0.055740740740740700
615,10278,mobile,360,640,48,female,0,qwerty,22.8906991408026,3.05958132045089,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,rarely,15.444966985133300,155.9581153956410,0,0.0,40.933333333,1.522184075,0,0.018091168091168100,0.06592592592592590
621,10331,mobile,360,640,22,male,0,qwerty,20.2845949017147,3.68,en,mobile,notsure,"""[\prediction\""""]""""""",right_hand;thumbs,18,,16.561598243400000,213.91357223577100,1.5333333333333300,0.0391805650607829,40.866666666,1.3656834888,0.06312169312169310,0.1403174603174600,0.05396825396825400
630,10449,mobile,320,570,34,female,0,qwerty,29.6328749663942,2.71317829457364,en,mobile,FALSE,"""[\swipe\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,6,,23.306591961,156.86011385468100,0.2,0.006,34.066666666,1.11778005773333,0.008333333333333330,0,0.150002405002405
648,10735,mobile,360,720,26,male,1,qwerty,26.2207463009176,1.21107266435986,ms,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,1,always,9.284900778533330,135.8510652920940,0,0.0,38.066666666,1.13961597286667,0.05119047619047620,0.050207570207570200,0.03142450142450140
659,10919,mobile,375,667,30,female,1,qwerty,23.53334996542,1.0989010989011,en,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",left_hand;thumbs,8,,22.123087605400000,111.16689005654900,3,0.0743712100308434,42.4,0.716548229266667,0.059240019240019200,0.3674074074074070,0.05777777777777780
